JIT_1;1;1;1;1823;21;354;
JIT_1;1;1;1;791;19;354;
JIT_2;1;1;1;1059;21;354;
JIT_2;1;1;1;712;18;354;
NOJIT_1;1;1;1;2233;41;987;
NOJIT_1;1;1;1;918;21;382;
NOJIT_2;1;1;1;1840;27;406;
NOJIT_2;1;1;1;989;17;406;
JIT_1;1;1;2;2005;22;358;
JIT_1;1;1;2;800;17;358;
JIT_2;1;1;2;869;18;358;
JIT_2;1;1;2;719;18;358;
NOJIT_1;1;1;2;2224;57;1001;
NOJIT_1;1;1;2;909;24;396;
NOJIT_2;1;1;2;1494;22;422;
NOJIT_2;1;1;2;1046;25;422;
JIT_1;1;1;4;2383;23;366;
JIT_1;1;1;4;915;20;366;
JIT_2;1;1;4;1089;25;366;
JIT_2;1;1;4;935;22;366;
NOJIT_1;1;1;4;2550;50;1029;
NOJIT_1;1;1;4;913;23;424;
NOJIT_2;1;1;4;1917;21;435;
NOJIT_2;1;1;4;1241;23;435;
JIT_1;1;1;8;1598;21;382;
JIT_1;1;1;8;843;15;382;
JIT_2;1;1;8;928;22;382;
JIT_2;1;1;8;907;17;382;
NOJIT_1;1;1;8;2787;52;1085;
NOJIT_1;1;1;8;1062;17;480;
NOJIT_2;1;1;8;1660;22;448;
NOJIT_2;1;1;8;940;26;448;
JIT_1;1;1;16;2726;27;415;
JIT_1;1;1;16;1075;23;415;
JIT_2;1;1;16;1235;29;414;
JIT_2;1;1;16;1148;32;414;
NOJIT_1;1;1;16;2584;62;1197;
NOJIT_1;1;1;16;1221;34;592;
NOJIT_2;1;1;16;1926;33;474;
NOJIT_2;1;1;16;1200;32;474;
JIT_1;1;1;32;2467;36;480;
JIT_1;1;1;32;1479;28;480;
JIT_2;1;1;32;1455;29;478;
JIT_2;1;1;32;914;29;478;
NOJIT_1;1;1;32;2176;55;1421;
NOJIT_1;1;1;32;1134;38;816;
NOJIT_2;1;1;32;1932;37;526;
NOJIT_2;1;1;32;1160;33;526;
JIT_1;1;1;64;3825;40;590;
JIT_1;1;1;64;1261;29;590;
JIT_2;1;1;64;1595;29;590;
JIT_2;1;1;64;1377;29;590;
NOJIT_1;1;1;64;2457;62;1869;
NOJIT_1;1;1;64;1211;43;1264;
NOJIT_2;1;1;64;1882;30;630;
NOJIT_2;1;1;64;1134;37;630;
JIT_1;1;1;128;2950;58;797;
JIT_1;1;1;128;1062;51;797;
JIT_2;1;1;128;1779;64;798;
JIT_2;1;1;128;1170;59;798;
NOJIT_1;1;1;128;3083;90;2765;
NOJIT_1;1;1;128;1638;61;2160;
NOJIT_2;1;1;128;2305;57;838;
NOJIT_2;1;1;128;1324;61;838;
JIT_1;2;1;1;2122;20;359;
JIT_1;2;1;1;877;17;359;
JIT_2;2;1;1;862;13;359;
JIT_2;2;1;1;779;13;359;
NOJIT_1;2;1;1;2140;65;996;
NOJIT_1;2;1;1;845;23;391;
NOJIT_2;2;1;1;1868;25;426;
NOJIT_2;2;1;1;925;24;426;
JIT_1;2;1;2;1998;21;367;
JIT_1;2;1;2;825;20;367;
JIT_2;2;1;2;904;24;367;
JIT_2;2;1;2;809;18;367;
NOJIT_1;2;1;2;2871;59;1019;
NOJIT_1;2;1;2;866;19;414;
NOJIT_2;2;1;2;1997;25;458;
NOJIT_2;2;1;2;856;23;458;
JIT_1;2;1;4;1708;24;383;
JIT_1;2;1;4;805;22;383;
