NOJIT_sof_pip;1;4;3406;52;1001;
NOJIT_sof_pip;1;4;981;13;350;
JIT_sof_pip;1;4;1740;8;347;
JIT_sof_pip;1;4;686;13;347;
NOJIT_sof_pip;1;4;2869;45;1001;
NOJIT_sof_pip;1;4;1062;9;350;
JIT_sof_pip;1;4;2802;13;347;
JIT_sof_pip;1;4;850;10;347;
NOJIT_sof_pip;1;4;4232;49;1001;
NOJIT_sof_pip;1;4;1126;11;350;
JIT_sof_pip;1;4;1207;12;347;
JIT_sof_pip;1;4;708;13;347;
NOJIT_sof_pip;1;4;3218;41;1001;
NOJIT_sof_pip;1;4;1002;11;350;
JIT_sof_pip;1;4;2255;12;347;
JIT_sof_pip;1;4;753;12;347;
NOJIT_sof_pip;1;4;4439;51;1001;
NOJIT_sof_pip;1;4;998;13;350;
JIT_sof_pip;1;4;1568;11;347;
JIT_sof_pip;1;4;801;11;347;
NOJIT_sof_pip;1;4;3948;60;1001;
NOJIT_sof_pip;1;4;967;16;350;
JIT_sof_pip;1;4;1633;14;347;
JIT_sof_pip;1;4;726;14;347;
NOJIT_sof_pip;1;4;4127;51;1001;
NOJIT_sof_pip;1;4;1067;13;350;
JIT_sof_pip;1;4;1759;14;347;
JIT_sof_pip;1;4;859;9;347;
NOJIT_sof_pip;1;4;3883;48;1001;
NOJIT_sof_pip;1;4;997;13;350;
JIT_sof_pip;1;4;1496;15;347;
JIT_sof_pip;1;4;734;13;347;
NOJIT_sof_pip;1;4;4644;70;1001;
NOJIT_sof_pip;1;4;957;17;350;
JIT_sof_pip;1;4;886;15;347;
JIT_sof_pip;1;4;773;12;347;
NOJIT_sof_pip;1;4;3453;43;1001;
NOJIT_sof_pip;1;4;898;10;350;
JIT_sof_pip;1;4;1331;10;347;
JIT_sof_pip;1;4;769;9;347;
NOJIT_sof_pip;1;4;3923;61;1001;
NOJIT_sof_pip;1;4;950;13;350;
JIT_sof_pip;1;4;2769;11;347;
JIT_sof_pip;1;4;816;14;347;
NOJIT_sof_pip;1;4;4051;47;1001;
NOJIT_sof_pip;1;4;961;11;350;
JIT_sof_pip;1;4;1910;11;347;
JIT_sof_pip;1;4;839;17;347;
NOJIT_sof_pip;1;4;3502;53;1001;
NOJIT_sof_pip;1;4;1026;14;350;
